,vip_ivtl,act_num,pay_num,new,arppu
0,"(0, 4]",6490,799,195,28.018430944975087
1,"(4, 9]",2280,340,37,154.64114025059868
2,"(9, 12]",94,29,0,231.22903790967217
3,"(12, 14]",0,0,0,
4,"(14, 15]",0,0,0,
