,vip_ivtl,act_num,act_num,,pay_num,pay_num,,new,new,,arppu,arppu,
0,"(0, 4]",5782,5126,-11.35%,1380,1165,-15.58%,389,370,-4.88%,58.60 ,53.45 ,-9%
1,"(4, 9]",1974,1870,-5.27%,657,513,-21.92%,56,18,-67.86%,505.14 ,408.03 ,-19%
2,"(9, 12]",141,135,-4.26%,50,40,-20.00%,0,1,#DIV/0!,443.32 ,1144.15 ,158%
3,"(12, 14]",12,9,-25.00%,8,5,-37.50%,0,-1,#DIV/0!,177.75 ,205.20 ,15%
4,"(14, 15]",14,15,7.14%,4,4,0.00%,0,1,#DIV/0!,183.50 ,457.00 ,149%
