,platform_2,last_act_num,act_num,rank
17,cmge,531.0,461.0,1
22,ewan,105.0,355.0,2
37,uc,362.0,351.0,3
6,4399,357.0,279.0,4
14,androiddachen,195.0,222.0,5
33,oppo,189.0,167.0,6
24,huawei,185.0,159.0,7
38,vivo,146.0,115.0,8
41,xiaomi,108.0,97.0,9
0,other,470.0,475.0,10
